No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,TH 250C,XLX250CL
06,TH 823C,XLX823CL
07,TH 149X,XLX149XL
08,TH THAX,XLXTHAXL
09,TH 910X,XLX910XL
10,TH 818X,XLX818XL
11,TH 191X,XLX191XL
12,TH 911X,XLX911XL
13,TH 727X,XLX727XL
14,TH 250T,XLX250TL
15,TH 567X,XLX567XL
16,TH 191D,XLX191DL
17,TH 149N,XLX149NL
18,TH 250N,XLX250NL
19,TH 191K,XLX191KL
20,TH 567C,XLX567CL
21,TH 911D,XLX911DL
22,TH 254B,XLX254BL
23,TH 250D,XLX250DL
24,TH 191S,XLX191SL
25,TH 955K,XLX955KL
26,TH 149L,XLX149LL
27,TH 818L,XLX818LL
28,TH 823L,XLX823LL
29,TH 191L,XLX191LL
30,TH 955S,XLX955SL
31,TH 911L,XLX911LL
32,TH THAL,XLXTHALL
33,TH 149C,XLX149CL
34,TH 910L,XLX910LL
35,TH 567W,XLX567WL
36,TH 567L,XLX567LL
37,TH 191P,XLX191PL
38,TH 727C,XLX727CL
39,TH 823D,XLX823DL
40,TH 727L,XLX727LL
41,TH 818D,XLX818DL
42,TH 911C,XLX911CL
43,TH 919X,XLX919XL
44,TH 919A,XLX919AL
45,TH 191M,XLX191ML
46,TH 250Y,XLX250YL
47,TH 567D,XLX567DL
48,TH 149Y,XLX149YL
49,TH 955C,XLX955CL
50,TH THAC,XLXTHACL
51,TH 818C,XLX818CL
52,TH 919Y,XLX919YL
53,TH 910D,XLX910DL
54,TH 910C,XLX910CL
