No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,FR 033C,XLX033CL
06,FR 933C,XLX933CL
07,FR 755C,XLX755CL
08,FR 976C,XLX976CL
09,FR 933N,XLX933NL
10,FR 976B,XLX976BL
11,FR 976D,XLX976DL
12,FR 033R,XLX033RL
13,FR 933R,XLX933RL
14,FR 033E,XLX033EL
15,FR 933E,XLX933EL
16,FR 933B,XLX933BL
17,FR 933F,XLX933FL
18,FR 033H,XLX033HL
19,FR 033A,XLX033AL
20,FR 755K,XLX755KL
21,FR 033F,XLX033FL
22,FR 933O,XLX933OL
23,FR 933H,XLX933HL
24,FR 933K,XLX933KL
25,FR 033G,XLX033GL
26,FR 933A,XLX933AL
27,FR 755A,XLX755AL
28,FR 933G,XLX933GL
29,FR 033J,XLX033JL
30,FR 755Y,XLX755YL
31,FR 933D,XLX933DL
32,FR 933J,XLX933JL
33,FR 033I,XLX033IL
34,FR 933X,XLX933XL
35,FR 933Y,XLX933YL
36,FR 933P,XLX933PL
37,FR 033X,XLX033XL
38,FR 933U,XLX933UL
39,FR 033S,XLX033SL
40,FR 933I,XLX933IL
41,FR 933L,XLX933LL
42,FR 933W,XLX933WL
43,FR 476C,XLX476CL
44,FR 933S,XLX933SL
45,FR 976T,XLX976TL
46,FR 933T,XLX933TL
47,FR 755W,XLX755WL
48,FR 933M,XLX933ML
49,FR 755D,XLX755DL
50,FR 933V,XLX933VL
51,FR 933Z,XLX933ZL
