No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,France 933C,XLX933CL
06,France 033C,XLX033CL
07,France 976C,XLX976CL
08,France 933N,XLX933NL
09,France 933F,XLX933FL
10,France 033F,XLX033FL
11,France 933E,XLX933EL
12,France 033E,XLX033EL
13,France 933R,XLX933RL
14,France 033R,XLX033RL
15,France 755K,XLX755KL
16,France 933H,XLX933HL
17,France 033H,XLX033HL
18,France 933K,XLX933KL
19,France 033B,XLX033BL
20,France 933B,XLX933BL
21,France 033A,XLX033AL
22,France 755A,XLX755AL
23,France 933A,XLX933AL
24,France 976D,XLX976DL
25,France 033X,XLX033XL
26,France 933I,XLX933IL
27,France 933X,XLX933XL
28,France 933P,XLX933PL
29,France 033I,XLX033IL
30,France 933U,XLX933UL
31,France 933D,XLX933DL
32,France 933T,XLX933TL
33,France 933Y,XLX933YL
34,France 033J,XLX033JL
35,France 033G,XLX033GL
36,France 933G,XLX933GL
37,France 933J,XLX933JL
38,France 976T,XLX976TL
39,France 033Z,XLX033ZL
40,France 933S,XLX933SL
41,France 033N,XLX033NL
42,France 755B,XLX755BL
43,France 033S,XLX033SL
44,France 476A,XLX476AL
45,France 033W,XLX033WL
46,France 933W,XLX933WL
47,France 755C,XLX755CL
