No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Italy 395B,XLX395BL
06,Italy 022M,XLX022ML
07,Italy 099B,XLX099BL
08,Italy 022B,XLX022BL
09,Italy 999B,XLX999BL
10,Italy 930B,XLX930BL
11,Italy 068B,XLX068BL
12,Italy 118B,XLX118BL
13,Italy 390B,XLX390BL
14,Italy 332B,XLX332BL
15,Italy 395A,XLX395AL
16,Italy 706G,XLX706GL
17,Italy 001A,XLX001AL
18,Italy 022A,XLX022AL
19,Italy 486A,XLX486AL
20,Italy 991D,XLX991DL
21,Italy 093D,XLX093DL
22,Italy 439B,XLX439BL
23,Italy 231H,XLX231HL
24,Italy 093A,XLX093AL
25,Italy 280W,XLX280WL
26,Italy 391S,XLX391SL
27,Italy 991U,XLX991UL
28,Italy 706D,XLX706DL
29,Italy 862D,XLX862DL
30,Italy 118D,XLX118DL
31,Italy 116D,XLX116DL
32,Italy 022F,XLX022FL
33,Italy UMBC,XLXUMBCL
34,Italy UMBB,XLXUMBBL
35,Italy 022D,XLX022DL
36,Italy 585B,XLX585BL
37,Italy 022Z,XLX022ZL
38,Italy 118U,XLX118UL
39,Italy 099U,XLX099UL
40,Italy 930U,XLX930UL
41,Italy 332U,XLX332UL
42,Italy 999U,XLX999UL
43,Italy 706C,XLX706CL
44,Italy 068U,XLX068UL
45,Italy 390U,XLX390UL
46,Italy 934D,XLX934DL
47,Italy ITAC,XLXITACL
48,Italy 965D,XLX965DL
49,Italy 965C,XLX965CL
50,Italy 099S,XLX099SL
51,Italy 999S,XLX999SL
52,Italy 068S,XLX068SL
53,Italy 068C,XLX068CL
54,Italy 930S,XLX930SL
