No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Poland 132A,XLX132AL
06,Poland 132G,XLX132GL
07,Poland 132D,XLX132DL
08,Poland 558B,XLX558BL
09,Poland 558D,XLX558DL
10,Poland 558A,XLX558AL
11,Poland 778C,XLX778CL
12,Poland 559B,XLX559BL
13,Poland 778A,XLX778AL
14,Poland 132B,XLX132BL
15,Poland 558C,XLX558CL
16,Poland 132F,XLX132FL
17,Poland 132E,XLX132EL
18,Poland 132C,XLX132CL
19,Poland 333B,XLX333BL
20,Poland 333C,XLX333CL
21,Poland 558J,XLX558JL
22,Poland 778E,XLX778EL
23,Poland 260A,XLX260AL
24,Poland 333A,XLX333AL
