No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Luxembourg 270B,XLX270BL
06,Luxembourg 950B,XLX950BL
07,Luxembourg 032B,XLX032BL
08,Luxembourg 270A,XLX270AL
09,Luxembourg 270R,XLX270RL
10,Luxembourg 950F,XLX950FL
11,Luxembourg 950E,XLX950EL
12,Luxembourg 270C,XLX270CL
13,Luxembourg 032C,XLX032CL
14,Luxembourg 950C,XLX950CL
15,Luxembourg 270P,XLX270PL
16,Luxembourg 270E,XLX270EL
17,Luxembourg 032A,XLX032AL
18,Luxembourg 032E,XLX032EL
19,Luxembourg 270Z,XLX270ZL
20,Luxembourg 950A,XLX950AL
