No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,CN 516C,XLX516CL
06,CN 086C,XLX086CL
07,CN 055C,XLX055CL
08,CN 055D,XLX055DL
09,CN 086D,XLX086DL
10,CN 207B,XLX207BL
11,CN 055E,XLX055EL
12,CN 107C,XLX107CL
13,CN 055F,XLX055FL
14,CN 055A,XLX055AL
15,CN 107B,XLX107BL
16,CN 888B,XLX888BL
17,CN 517D,XLX517DL
18,CN 454D,XLX454DL
19,CN 516D,XLX516DL
20,CN 055H,XLX055HL
21,CN 086A,XLX086AL
22,CN 107E,XLX107EL
23,CN 107D,XLX107DL
24,CN 616A,XLX616AL
25,CN 454A,XLX454AL
26,CN 454B,XLX454BL
27,CN 207C,XLX207CL
28,CN 454C,XLX454CL
