No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Germany 021B,XLX021BL
06,Germany 339N,XLX339NL
07,Germany 383N,XLX383NL
08,Germany 787A,XLX787AL
09,Germany 262A,XLX262AL
10,Germany 860A,XLX860AL
11,Germany 518I,XLX518IL
12,Germany 174E,XLX174EL
13,Germany 021C,XLX021CL
14,Germany 844R,XLX844RL
15,Germany 787C,XLX787CL
16,Germany 787D,XLX787DL
17,Germany 339B,XLX339BL
18,Germany 262U,XLX262UL
19,Germany 383B,XLX383BL
20,Germany 012H,XLX012HL
21,Germany 787F,XLX787FL
22,Germany 339A,XLX339AL
23,Germany 787H,XLX787HL
24,Germany 012A,XLX012AL
25,Germany 006A,XLX006AL
26,Germany 518F,XLX518FL
27,Germany 012C,XLX012CL
28,Germany 021A,XLX021AL
29,Germany 339C,XLX339CL
30,Germany 518R,XLX518RL
31,Germany 518T,XLX518TL
32,Germany 518C,XLX518CL
33,Germany 860B,XLX860BL
34,Germany 012D,XLX012DL
35,Germany 021G,XLX021GL
36,Germany 339D,XLX339DL
37,Germany 262B,XLX262BL
38,Germany 383D,XLX383DL
39,Germany 383E,XLX383EL
40,Germany 555F,XLX555FL
41,Germany 555E,XLX555EL
42,Germany 844A,XLX844AL
43,Germany 012E,XLX012EL
44,Germany 339E,XLX339EL
45,Germany 339H,XLX339HL
46,Germany 262D,XLX262DL
47,Germany 747C,XLX747CL
48,Germany 986D,XLX986DL
49,Germany 383A,XLX383AL
50,Germany 262M,XLX262ML
51,Germany 844C,XLX844CL
52,Germany 787E,XLX787EL
53,Germany 555D,XLX555DL
54,Germany 262K,XLX262KL
