No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,Thailand 250C,XLX250CL
06,Thailand 149C,XLX149CL
07,Thailand 191X,XLX191XL
08,Thailand 919X,XLX919XL
09,Thailand 818X,XLX818XL
10,Thailand THAX,XLXTHAXL
11,Thailand 727X,XLX727XL
12,Thailand 567X,XLX567XL
13,Thailand 149X,XLX149XL
14,Thailand 250T,XLX250TL
15,Thailand 191S,XLX191SL
16,Thailand 191D,XLX191DL
17,Thailand 567W,XLX567WL
18,Thailand 567C,XLX567CL
19,Thailand 818A,XLX818AL
20,Thailand 149K,XLX149KL
21,Thailand 149N,XLX149NL
22,Thailand 250D,XLX250DL
23,Thailand 191Z,XLX191ZL
24,Thailand 191K,XLX191KL
25,Thailand THAL,XLXTHALL
26,Thailand 823L,XLX823LL
27,Thailand 149L,XLX149LL
28,Thailand 727L,XLX727LL
29,Thailand 818L,XLX818LL
30,Thailand 191L,XLX191LL
