No,Name,Call Sign
01,CQCQCQ,CQCQCQ
02,Info,       I
03,Unlink,       U
04,Echo,       E
05,New Zealand 287V,XLX287VL
06,New Zealand 750C,XLX750CL
07,New Zealand 750S,XLX750SL
08,New Zealand 750D,XLX750DL
09,New Zealand 750I,XLX750IL
10,New Zealand 287Z,XLX287ZL
11,New Zealand 750A,XLX750AL
12,New Zealand 287C,XLX287CL
13,New Zealand 287Q,XLX287QL
14,New Zealand 287B,XLX287BL
15,New Zealand 750B,XLX750BL
16,New Zealand 530D,XLX530DL
17,New Zealand 287A,XLX287AL
18,New Zealand 530B,XLX530BL
19,New Zealand 750X,XLX750XL
20,New Zealand 750G,XLX750GL
